activity_id,opportunity_id,sales_agent,activity_date,activity_type,activity_outcome
ACT-009999,7Q7SA3EK,Kami Bicknell,2017-05-20 16:00:00,Demo,Interested
ACT-010000,7Q7SA3EK,Kami Bicknell,2017-05-27 13:00:00,Meeting,Connected
ACT-010001,7Q7SA3EK,Kami Bicknell,2017-05-10 12:00:00,Email,Completed
ACT-010002,THKCN7HU,Kary Hendrixson,2017-04-04 14:00:00,Call,No answer
ACT-010003,THKCN7HU,Kary Hendrixson,2017-03-31 13:00:00,Follow-up,Rescheduled
ACT-010004,THKCN7HU,Kary Hendrixson,2017-04-11 08:00:00,Meeting,Interested
ACT-010005,THKCN7HU,Kary Hendrixson,2017-03-19 16:00:00,Demo,Responded
ACT-010006,THKCN7HU,Kary Hendrixson,2017-04-06 11:00:00,Meeting,Not interested
ACT-010007,THKCN7HU,Kary Hendrixson,2017-03-22 12:00:00,Follow-up,Completed
ACT-010008,6JI36HIE,Kary Hendrixson,2017-04-28 17:00:00,Call,Rescheduled
ACT-010009,6JI36HIE,Kary Hendrixson,2017-04-14 09:00:00,Call,Responded
ACT-010010,6JI36HIE,Kary Hendrixson,2017-05-23 10:00:00,Meeting,No answer
ACT-010011,6JI36HIE,Kary Hendrixson,2017-04-09 11:00:00,Call,Connected
ACT-010012,6JI36HIE,Kary Hendrixson,2017-04-23 16:00:00,Demo,Completed
ACT-010013,6JI36HIE,Kary Hendrixson,2017-04-30 09:00:00,Email,Rescheduled
ACT-010014,6JI36HIE,Kary Hendrixson,2017-05-21 17:00:00,Email,Rescheduled
ACT-010015,B5CBSTM5,Kary Hendrixson,2017-03-29 16:00:00,Meeting,Connected
ACT-010016,B5CBSTM5,Kary Hendrixson,2017-03-27 12:00:00,Follow-up,Not interested
ACT-010017,B5CBSTM5,Kary Hendrixson,2017-03-21 17:00:00,Follow-up,Responded
ACT-010018,B5CBSTM5,Kary Hendrixson,2017-03-27 16:00:00,Email,Connected
ACT-010019,B5CBSTM5,Kary Hendrixson,2017-03-29 17:00:00,Meeting,Rescheduled
ACT-010020,B5CBSTM5,Kary Hendrixson,2017-03-29 17:00:00,Meeting,Rescheduled
ACT-010021,B5CBSTM5,Kary Hendrixson,2017-03-26 11:00:00,Demo,Rescheduled
ACT-010022,SNBYNW8H,Moses Frase,2017-05-20 16:00:00,Call,Interested
ACT-010023,SNBYNW8H,Moses Frase,2017-04-25 15:00:00,Meeting,Completed
ACT-010024,SNBYNW8H,Moses Frase,2017-04-05 16:00:00,Email,Not interested
ACT-010025,IEN6RBZI,Reed Clapper,2017-04-01 08:00:00,Call,Interested
ACT-010026,IEN6RBZI,Reed Clapper,2017-05-08 10:00:00,Demo,Interested
ACT-010027,IEN6RBZI,Reed Clapper,2017-05-12 15:00:00,Demo,No answer
ACT-010028,9P026O47,Versie Hillebrand,2017-04-02 16:00:00,Meeting,Rescheduled
ACT-010029,9P026O47,Versie Hillebrand,2017-04-17 13:00:00,Email,Interested
ACT-010030,9P026O47,Versie Hillebrand,2017-04-13 16:00:00,Call,No answer
ACT-010031,9P026O47,Versie Hillebrand,2017-04-03 10:00:00,Follow-up,No answer
ACT-010032,9P026O47,Versie Hillebrand,2017-05-22 12:00:00,Meeting,Responded
ACT-010033,9P026O47,Versie Hillebrand,2017-05-10 12:00:00,Demo,Not interested
ACT-010034,9P026O47,Versie Hillebrand,2017-03-25 11:00:00,Meeting,Responded
ACT-010035,AJLNEUVY,Versie Hillebrand,2017-03-24 15:00:00,Follow-up,Completed
ACT-010036,AJLNEUVY,Versie Hillebrand,2017-03-27 17:00:00,Call,Interested
ACT-010037,AJLNEUVY,Versie Hillebrand,2017-03-26 16:00:00,Meeting,Interested
ACT-010038,AJLNEUVY,Versie Hillebrand,2017-03-22 09:00:00,Call,Not interested
ACT-010039,LJIAOC0Q,Violet Mclelland,2017-04-22 13:00:00,Call,Connected
ACT-010040,LJIAOC0Q,Violet Mclelland,2017-05-25 09:00:00,Call,Completed
ACT-010041,LJIAOC0Q,Violet Mclelland,2017-04-29 09:00:00,Demo,Not interested
ACT-010042,LJIAOC0Q,Violet Mclelland,2017-05-17 12:00:00,Meeting,Interested
ACT-010043,LJIAOC0Q,Violet Mclelland,2017-04-06 14:00:00,Call,No answer
ACT-010044,LJIAOC0Q,Violet Mclelland,2017-05-08 16:00:00,Follow-up,Completed
ACT-010045,LJIAOC0Q,Violet Mclelland,2017-03-22 13:00:00,Demo,Interested
ACT-010046,LJIAOC0Q,Violet Mclelland,2017-06-02 15:00:00,Call,Completed
ACT-010047,PD2198ZH,Zane Levy,2017-03-31 16:00:00,Email,Not interested
ACT-010048,PD2198ZH,Zane Levy,2017-03-25 08:00:00,Call,No answer
ACT-010049,PD2198ZH,Zane Levy,2017-03-26 17:00:00,Email,Responded
ACT-010050,PD2198ZH,Zane Levy,2017-03-27 17:00:00,Follow-up,Connected
ACT-010051,PD2198ZH,Zane Levy,2017-04-04 10:00:00,Meeting,Completed
ACT-010052,PD2198ZH,Zane Levy,2017-03-19 15:00:00,Meeting,Completed
ACT-010053,PD2198ZH,Zane Levy,2017-04-01 10:00:00,Email,Responded
ACT-010054,PD2198ZH,Zane Levy,2017-04-03 10:00:00,Call,Responded
ACT-010055,PD2198ZH,Zane Levy,2017-04-12 16:00:00,Follow-up,Connected
ACT-010056,2BYD4WQ7,Anna Snelling,2017-05-13 14:00:00,Meeting,Not interested
ACT-010057,2BYD4WQ7,Anna Snelling,2017-04-18 09:00:00,Follow-up,Rescheduled
ACT-010058,2BYD4WQ7,Anna Snelling,2017-04-25 13:00:00,Demo,Completed
ACT-010059,2BYD4WQ7,Anna Snelling,2017-04-17 08:00:00,Email,Completed
ACT-010060,HP6DSCMH,Boris Faz,2017-05-19 09:00:00,Meeting,No answer
ACT-010061,HP6DSCMH,Boris Faz,2017-05-28 16:00:00,Demo,Not interested
ACT-010062,HP6DSCMH,Boris Faz,2017-05-03 12:00:00,Meeting,No answer
ACT-010063,HP6DSCMH,Boris Faz,2017-06-08 08:00:00,Meeting,Not interested
ACT-010064,HP6DSCMH,Boris Faz,2017-05-10 10:00:00,Follow-up,No answer
ACT-010065,FM4S93O6,Cassey Cress,2017-04-06 10:00:00,Meeting,Not interested
ACT-010066,FM4S93O6,Cassey Cress,2017-05-02 10:00:00,Email,Connected
ACT-010067,FM4S93O6,Cassey Cress,2017-05-06 09:00:00,Call,Not interested
ACT-010068,FM4S93O6,Cassey Cress,2017-04-23 14:00:00,Meeting,No answer
ACT-010069,ALHQU8W8,Corliss Cosme,2017-03-22 09:00:00,Call,Connected
ACT-010070,ALHQU8W8,Corliss Cosme,2017-04-04 14:00:00,Demo,Responded
ACT-010071,ALHQU8W8,Corliss Cosme,2017-03-25 12:00:00,Email,Connected
ACT-010072,ALHQU8W8,Corliss Cosme,2017-03-20 16:00:00,Follow-up,No answer
ACT-010073,ALHQU8W8,Corliss Cosme,2017-03-21 14:00:00,Follow-up,Rescheduled
ACT-010074,ALHQU8W8,Corliss Cosme,2017-04-15 16:00:00,Demo,Responded
ACT-010075,ALHQU8W8,Corliss Cosme,2017-04-08 11:00:00,Meeting,Connected
ACT-010076,ALHQU8W8,Corliss Cosme,2017-04-14 14:00:00,Demo,No answer
ACT-010077,ALHQU8W8,Corliss Cosme,2017-04-16 13:00:00,Call,Completed
ACT-010078,GGPSSI5Q,Daniell Hammack,2017-03-26 09:00:00,Email,Responded
ACT-010079,GGPSSI5Q,Daniell Hammack,2017-03-22 10:00:00,Follow-up,No answer
ACT-010080,GGPSSI5Q,Daniell Hammack,2017-05-21 09:00:00,Email,Rescheduled
ACT-010081,GGPSSI5Q,Daniell Hammack,2017-04-24 13:00:00,Call,Connected
ACT-010082,GGPSSI5Q,Daniell Hammack,2017-04-16 16:00:00,Follow-up,Responded
ACT-010083,4D95LU0H,Darcel Schlecht,2017-06-12 08:00:00,Call,Responded
ACT-010084,4D95LU0H,Darcel Schlecht,2017-06-02 09:00:00,Email,Interested
ACT-010085,4D95LU0H,Darcel Schlecht,2017-04-20 13:00:00,Email,Connected
ACT-010086,4D95LU0H,Darcel Schlecht,2017-03-24 10:00:00,Call,Interested
ACT-010087,4D95LU0H,Darcel Schlecht,2017-06-24 11:00:00,Demo,Responded
ACT-010088,4D95LU0H,Darcel Schlecht,2017-03-20 09:00:00,Follow-up,Not interested
ACT-010089,4D95LU0H,Darcel Schlecht,2017-04-11 16:00:00,Follow-up,Rescheduled
ACT-010090,4D95LU0H,Darcel Schlecht,2017-06-21 15:00:00,Demo,Completed
ACT-010091,4D95LU0H,Darcel Schlecht,2017-05-01 14:00:00,Meeting,Not interested
ACT-010092,4D95LU0H,Darcel Schlecht,2017-05-12 13:00:00,Demo,Interested
ACT-010093,KA79LTFF,Darcel Schlecht,2017-03-23 15:00:00,Demo,Not interested
ACT-010094,KA79LTFF,Darcel Schlecht,2017-03-29 16:00:00,Demo,Not interested
ACT-010095,KA79LTFF,Darcel Schlecht,2017-03-28 14:00:00,Call,Connected
ACT-010096,KA79LTFF,Darcel Schlecht,2017-03-27 16:00:00,Call,Completed
ACT-010097,KA79LTFF,Darcel Schlecht,2017-03-21 12:00:00,Demo,Interested
ACT-010098,KA79LTFF,Darcel Schlecht,2017-03-26 15:00:00,Demo,Interested
ACT-010099,KA79LTFF,Darcel Schlecht,2017-03-30 13:00:00,Meeting,Interested
ACT-010100,KA79LTFF,Darcel Schlecht,2017-03-25 15:00:00,Call,Not interested
ACT-010101,OBBVVO9O,Elease Gluck,2017-04-25 17:00:00,Meeting,Completed
ACT-010102,OBBVVO9O,Elease Gluck,2017-04-18 17:00:00,Email,Interested
ACT-010103,OBBVVO9O,Elease Gluck,2017-04-02 12:00:00,Email,Completed
ACT-010104,OBBVVO9O,Elease Gluck,2017-04-10 15:00:00,Demo,Rescheduled
ACT-010105,OBBVVO9O,Elease Gluck,2017-05-05 10:00:00,Demo,Interested
ACT-010106,OBBVVO9O,Elease Gluck,2017-04-03 13:00:00,Follow-up,Completed
ACT-010107,OBBVVO9O,Elease Gluck,2017-05-21 12:00:00,Call,Responded
ACT-010108,OBBVVO9O,Elease Gluck,2017-05-23 12:00:00,Follow-up,Rescheduled
ACT-010109,OBBVVO9O,Elease Gluck,2017-04-11 17:00:00,Call,No answer
ACT-010110,OBBVVO9O,Elease Gluck,2017-04-20 14:00:00,Meeting,Connected
ACT-010111,83HX5CIJ,Kami Bicknell,2017-03-21 15:00:00,Follow-up,Connected
ACT-010112,83HX5CIJ,Kami Bicknell,2017-03-20 09:00:00,Meeting,Not interested
ACT-010113,83HX5CIJ,Kami Bicknell,2017-03-21 15:00:00,Demo,No answer
ACT-010114,83HX5CIJ,Kami Bicknell,2017-03-21 09:00:00,Follow-up,Completed
ACT-010115,83HX5CIJ,Kami Bicknell,2017-03-20 09:00:00,Email,Rescheduled
ACT-010116,83HX5CIJ,Kami Bicknell,2017-03-22 16:00:00,Email,Completed
ACT-010117,SGV1FR3O,Kami Bicknell,2017-05-22 13:00:00,Demo,Responded
ACT-010118,SGV1FR3O,Kami Bicknell,2017-04-19 10:00:00,Demo,Rescheduled
ACT-010119,SGV1FR3O,Kami Bicknell,2017-04-30 12:00:00,Call,No answer
ACT-010120,SGV1FR3O,Kami Bicknell,2017-03-30 15:00:00,Email,Interested
ACT-010121,SGV1FR3O,Kami Bicknell,2017-03-20 17:00:00,Follow-up,Responded
ACT-010122,TJ6U9HZ3,Kary Hendrixson,2017-04-18 16:00:00,Email,Interested
ACT-010123,TJ6U9HZ3,Kary Hendrixson,2017-05-09 15:00:00,Follow-up,Not interested
ACT-010124,TJ6U9HZ3,Kary Hendrixson,2017-06-20 09:00:00,Meeting,No answer
ACT-010125,TJ6U9HZ3,Kary Hendrixson,2017-04-06 14:00:00,Email,Responded
ACT-010126,TJ6U9HZ3,Kary Hendrixson,2017-05-09 10:00:00,Demo,Connected
ACT-010127,TJ6U9HZ3,Kary Hendrixson,2017-05-06 08:00:00,Follow-up,No answer
ACT-010128,K72CEXGZ,Maureen Marcano,2017-03-20 14:00:00,Meeting,Connected
ACT-010129,K72CEXGZ,Maureen Marcano,2017-03-28 13:00:00,Email,Connected
ACT-010130,K72CEXGZ,Maureen Marcano,2017-03-30 10:00:00,Meeting,Rescheduled
ACT-010131,1N99TLIA,Maureen Marcano,2017-06-02 11:00:00,Call,Rescheduled
ACT-010132,1N99TLIA,Maureen Marcano,2017-03-23 10:00:00,Call,Rescheduled
ACT-010133,1N99TLIA,Maureen Marcano,2017-06-01 16:00:00,Demo,Connected
ACT-010134,1N99TLIA,Maureen Marcano,2017-05-31 10:00:00,Follow-up,No answer
ACT-010135,1N99TLIA,Maureen Marcano,2017-05-12 13:00:00,Email,Not interested
ACT-010136,1N99TLIA,Maureen Marcano,2017-04-12 08:00:00,Demo,Interested
ACT-010137,1N99TLIA,Maureen Marcano,2017-04-12 11:00:00,Meeting,Not interested
ACT-010138,1N99TLIA,Maureen Marcano,2017-04-12 13:00:00,Demo,Connected
ACT-010139,1N99TLIA,Maureen Marcano,2017-03-27 14:00:00,Meeting,Responded
ACT-010140,JYE2QFGE,Niesha Huffines,2017-04-28 09:00:00,Meeting,Responded
ACT-010141,JYE2QFGE,Niesha Huffines,2017-04-28 08:00:00,Follow-up,Completed
ACT-010142,JYE2QFGE,Niesha Huffines,2017-04-22 13:00:00,Follow-up,Interested
ACT-010143,JYE2QFGE,Niesha Huffines,2017-03-25 16:00:00,Demo,Connected
ACT-010144,JYE2QFGE,Niesha Huffines,2017-03-26 17:00:00,Meeting,Interested
ACT-010145,JYE2QFGE,Niesha Huffines,2017-04-09 11:00:00,Email,Completed
ACT-010146,IEOMRMWW,Reed Clapper,2017-03-21 10:00:00,Call,No answer
ACT-010147,IEOMRMWW,Reed Clapper,2017-04-13 16:00:00,Follow-up,Connected
ACT-010148,ZW7N89K3,Rosalina Dieter,2017-04-21 15:00:00,Email,Not interested
ACT-010149,ZW7N89K3,Rosalina Dieter,2017-04-13 09:00:00,Meeting,No answer
ACT-010150,ZW7N89K3,Rosalina Dieter,2017-05-11 13:00:00,Follow-up,Not interested
ACT-010151,ZW7N89K3,Rosalina Dieter,2017-05-14 10:00:00,Meeting,Rescheduled
ACT-010152,ZW7N89K3,Rosalina Dieter,2017-05-01 08:00:00,Call,Responded
ACT-010153,ZW7N89K3,Rosalina Dieter,2017-03-29 16:00:00,Follow-up,Connected
ACT-010154,MIU04JC2,Versie Hillebrand,2017-04-24 12:00:00,Meeting,Interested
ACT-010155,MIU04JC2,Versie Hillebrand,2017-03-25 17:00:00,Call,Connected
ACT-010156,MIU04JC2,Versie Hillebrand,2017-04-26 10:00:00,Demo,Rescheduled
ACT-010157,MIU04JC2,Versie Hillebrand,2017-05-29 08:00:00,Meeting,Rescheduled
ACT-010158,MIU04JC2,Versie Hillebrand,2017-05-04 13:00:00,Email,No answer
ACT-010159,MIU04JC2,Versie Hillebrand,2017-04-25 09:00:00,Demo,Completed
ACT-010160,MIU04JC2,Versie Hillebrand,2017-05-25 15:00:00,Demo,Rescheduled
ACT-010161,MIU04JC2,Versie Hillebrand,2017-04-06 08:00:00,Meeting,No answer
ACT-010162,VF2OKZY5,Vicki Laflamme,2017-04-07 17:00:00,Meeting,No answer
ACT-010163,VF2OKZY5,Vicki Laflamme,2017-03-25 10:00:00,Email,Responded
ACT-010164,VF2OKZY5,Vicki Laflamme,2017-04-26 16:00:00,Meeting,Connected
ACT-010165,VF2OKZY5,Vicki Laflamme,2017-05-27 14:00:00,Meeting,No answer
ACT-010166,QSBKLWSW,Violet Mclelland,2017-06-28 14:00:00,Email,Completed
ACT-010167,QSBKLWSW,Violet Mclelland,2017-04-28 12:00:00,Call,No answer
ACT-010168,QSBKLWSW,Violet Mclelland,2017-03-20 15:00:00,Follow-up,Not interested
ACT-010169,QSBKLWSW,Violet Mclelland,2017-03-28 13:00:00,Demo,Rescheduled
ACT-010170,QSBKLWSW,Violet Mclelland,2017-04-08 17:00:00,Call,Responded
ACT-010171,QSBKLWSW,Violet Mclelland,2017-05-29 11:00:00,Follow-up,No answer
ACT-010172,QSBKLWSW,Violet Mclelland,2017-04-14 17:00:00,Follow-up,Connected
ACT-010173,QSBKLWSW,Violet Mclelland,2017-05-23 09:00:00,Follow-up,Completed
ACT-010174,QSBKLWSW,Violet Mclelland,2017-06-19 12:00:00,Email,No answer
ACT-010175,0GTJE2VQ,Wilburn Farren,2017-06-13 12:00:00,Follow-up,Completed
ACT-010176,0GTJE2VQ,Wilburn Farren,2017-06-05 08:00:00,Demo,Interested
ACT-010177,0GTJE2VQ,Wilburn Farren,2017-05-22 17:00:00,Email,Rescheduled
ACT-010178,0GTJE2VQ,Wilburn Farren,2017-05-14 16:00:00,Follow-up,No answer
ACT-010179,0GTJE2VQ,Wilburn Farren,2017-04-20 14:00:00,Demo,Not interested
ACT-010180,0GTJE2VQ,Wilburn Farren,2017-05-13 12:00:00,Call,Connected
ACT-010181,0GTJE2VQ,Wilburn Farren,2017-06-08 12:00:00,Call,Interested
ACT-010182,H91G4MYP,Zane Levy,2017-04-23 13:00:00,Email,Connected
ACT-010183,H91G4MYP,Zane Levy,2017-05-03 17:00:00,Call,Completed
ACT-010184,H91G4MYP,Zane Levy,2017-04-04 17:00:00,Demo,Interested
ACT-010185,DDBH2FPP,Anna Snelling,2017-03-31 14:00:00,Demo,Interested
ACT-010186,DDBH2FPP,Anna Snelling,2017-05-10 09:00:00,Follow-up,Completed
ACT-010187,DDBH2FPP,Anna Snelling,2017-04-26 08:00:00,Meeting,Rescheduled
ACT-010188,DDBH2FPP,Anna Snelling,2017-04-04 11:00:00,Meeting,Completed
ACT-010189,P1SGQODJ,Boris Faz,2017-04-07 12:00:00,Call,Connected
ACT-010190,P1SGQODJ,Boris Faz,2017-03-24 11:00:00,Meeting,Interested
ACT-010191,P1SGQODJ,Boris Faz,2017-04-03 12:00:00,Call,Responded
ACT-010192,P1SGQODJ,Boris Faz,2017-04-17 12:00:00,Call,Interested
ACT-010193,P1SGQODJ,Boris Faz,2017-03-30 17:00:00,Meeting,Connected
ACT-010194,N8F2PFQP,Boris Faz,2017-04-02 11:00:00,Meeting,Not interested
ACT-010195,N8F2PFQP,Boris Faz,2017-03-21 11:00:00,Meeting,Rescheduled
ACT-010196,N8F2PFQP,Boris Faz,2017-04-02 17:00:00,Follow-up,No answer
ACT-010197,WELHHO3U,Cecily Lampkin,2017-03-28 13:00:00,Email,No answer
ACT-010198,WELHHO3U,Cecily Lampkin,2017-03-29 08:00:00,Email,Completed
ACT-010199,WELHHO3U,Cecily Lampkin,2017-03-29 08:00:00,Follow-up,Interested
ACT-010200,WELHHO3U,Cecily Lampkin,2017-03-22 08:00:00,Call,Not interested
ACT-010201,WELHHO3U,Cecily Lampkin,2017-03-28 09:00:00,Follow-up,Connected
ACT-010202,WELHHO3U,Cecily Lampkin,2017-03-21 14:00:00,Meeting,No answer
ACT-010203,WELHHO3U,Cecily Lampkin,2017-03-24 08:00:00,Demo,Connected
ACT-010204,CUAYGT78,Daniell Hammack,2017-04-08 09:00:00,Demo,Completed
ACT-010205,CUAYGT78,Daniell Hammack,2017-06-10 15:00:00,Meeting,Completed
ACT-010206,CUAYGT78,Daniell Hammack,2017-04-24 09:00:00,Call,Responded
ACT-010207,CUAYGT78,Daniell Hammack,2017-04-15 10:00:00,Demo,Not interested
ACT-010208,CUAYGT78,Daniell Hammack,2017-04-28 13:00:00,Meeting,Connected
ACT-010209,9KDR9PQX,Garret Kinder,2017-03-27 15:00:00,Call,Responded
ACT-010210,9KDR9PQX,Garret Kinder,2017-03-27 14:00:00,Demo,Not interested
ACT-010211,9KDR9PQX,Garret Kinder,2017-03-24 10:00:00,Follow-up,Not interested
ACT-010212,9KDR9PQX,Garret Kinder,2017-03-28 16:00:00,Email,Rescheduled
ACT-010213,9KDR9PQX,Garret Kinder,2017-03-23 11:00:00,Demo,Interested
ACT-010214,9KDR9PQX,Garret Kinder,2017-03-25 17:00:00,Call,Responded
ACT-010215,9KDR9PQX,Garret Kinder,2017-03-23 09:00:00,Follow-up,Connected
ACT-010216,9KDR9PQX,Garret Kinder,2017-03-22 15:00:00,Email,Responded
ACT-010217,8A5HA974,Jonathan Berthelot,2017-03-25 16:00:00,Call,Completed
ACT-010218,8A5HA974,Jonathan Berthelot,2017-03-28 17:00:00,Demo,Interested
ACT-010219,8A5HA974,Jonathan Berthelot,2017-03-29 11:00:00,Meeting,Responded
ACT-010220,8A5HA974,Jonathan Berthelot,2017-03-22 10:00:00,Meeting,Not interested
ACT-010221,8A5HA974,Jonathan Berthelot,2017-03-26 15:00:00,Meeting,Interested
ACT-010222,8A5HA974,Jonathan Berthelot,2017-03-21 17:00:00,Follow-up,Not interested
ACT-010223,8A5HA974,Jonathan Berthelot,2017-03-26 16:00:00,Email,Rescheduled
ACT-010224,8A5HA974,Jonathan Berthelot,2017-03-24 10:00:00,Call,Connected
ACT-010225,M1L0IWB6,Jonathan Berthelot,2017-03-23 15:00:00,Demo,Connected
ACT-010226,M1L0IWB6,Jonathan Berthelot,2017-05-10 14:00:00,Call,Rescheduled
ACT-010227,M1L0IWB6,Jonathan Berthelot,2017-04-29 14:00:00,Call,Rescheduled
ACT-010228,M1L0IWB6,Jonathan Berthelot,2017-05-04 16:00:00,Call,Completed
ACT-010229,M1L0IWB6,Jonathan Berthelot,2017-04-07 12:00:00,Demo,Responded
ACT-010230,M1L0IWB6,Jonathan Berthelot,2017-04-19 09:00:00,Demo,Rescheduled
ACT-010231,M1L0IWB6,Jonathan Berthelot,2017-04-27 11:00:00,Call,Responded
ACT-010232,I2U6MKUT,Reed Clapper,2017-05-27 12:00:00,Meeting,No answer
ACT-010233,I2U6MKUT,Reed Clapper,2017-05-23 14:00:00,Email,Responded
ACT-010234,I2U6MKUT,Reed Clapper,2017-04-01 11:00:00,Demo,Connected
ACT-010235,I2U6MKUT,Reed Clapper,2017-04-20 14:00:00,Follow-up,Rescheduled
ACT-010236,I2U6MKUT,Reed Clapper,2017-03-27 12:00:00,Demo,Rescheduled
ACT-010237,I2U6MKUT,Reed Clapper,2017-05-08 13:00:00,Follow-up,No answer
ACT-010238,I2U6MKUT,Reed Clapper,2017-05-13 14:00:00,Call,Rescheduled
ACT-010239,5C8HCDXT,Wilburn Farren,2017-03-27 14:00:00,Meeting,Connected
ACT-010240,5C8HCDXT,Wilburn Farren,2017-03-27 11:00:00,Call,Connected
ACT-010241,5C8HCDXT,Wilburn Farren,2017-04-07 13:00:00,Call,No answer
ACT-010242,RK6UFTI8,Wilburn Farren,2017-03-22 08:00:00,Demo,Completed
ACT-010243,RK6UFTI8,Wilburn Farren,2017-03-25 16:00:00,Demo,Interested
ACT-010244,RK6UFTI8,Wilburn Farren,2017-03-25 11:00:00,Demo,No answer
ACT-010245,RK6UFTI8,Wilburn Farren,2017-03-23 14:00:00,Call,Not interested
ACT-010246,RK6UFTI8,Wilburn Farren,2017-03-26 11:00:00,Demo,Responded
ACT-010247,ECOU1XXZ,Anna Snelling,2017-05-07 12:00:00,Demo,Rescheduled
ACT-010248,ECOU1XXZ,Anna Snelling,2017-04-04 09:00:00,Call,Connected
ACT-010249,ECOU1XXZ,Anna Snelling,2017-04-22 13:00:00,Call,Completed
ACT-010250,ECOU1XXZ,Anna Snelling,2017-03-29 08:00:00,Demo,Responded
ACT-010251,ECOU1XXZ,Anna Snelling,2017-04-20 12:00:00,Call,Rescheduled
ACT-010252,ECOU1XXZ,Anna Snelling,2017-05-01 17:00:00,Email,Completed
ACT-010253,ECOU1XXZ,Anna Snelling,2017-05-21 08:00:00,Meeting,Connected
ACT-010254,9FPDDSIJ,Cassey Cress,2017-04-19 11:00:00,Demo,Completed
ACT-010255,9FPDDSIJ,Cassey Cress,2017-04-18 14:00:00,Follow-up,Responded
ACT-010256,9FPDDSIJ,Cassey Cress,2017-04-21 15:00:00,Email,Connected
ACT-010257,9FPDDSIJ,Cassey Cress,2017-04-05 15:00:00,Demo,Not interested
ACT-010258,4RDJBBB6,Daniell Hammack,2017-03-25 17:00:00,Email,Responded
ACT-010259,4RDJBBB6,Daniell Hammack,2017-03-30 15:00:00,Follow-up,Responded
ACT-010260,4RDJBBB6,Daniell Hammack,2017-04-20 16:00:00,Call,Rescheduled
ACT-010261,4RDJBBB6,Daniell Hammack,2017-04-06 17:00:00,Demo,Connected
ACT-010262,4RDJBBB6,Daniell Hammack,2017-04-21 14:00:00,Demo,Connected
ACT-010263,4RDJBBB6,Daniell Hammack,2017-04-15 14:00:00,Demo,Connected
ACT-010264,4RDJBBB6,Daniell Hammack,2017-03-25 08:00:00,Meeting,Connected
ACT-010265,OTDDPHWJ,Darcel Schlecht,2017-04-14 08:00:00,Email,No answer
ACT-010266,OTDDPHWJ,Darcel Schlecht,2017-05-17 16:00:00,Email,Completed
ACT-010267,OTDDPHWJ,Darcel Schlecht,2017-04-28 13:00:00,Email,Completed
ACT-010268,OTDDPHWJ,Darcel Schlecht,2017-04-18 10:00:00,Follow-up,Completed
ACT-010269,OTDDPHWJ,Darcel Schlecht,2017-04-01 08:00:00,Demo,Interested
ACT-010270,20N9WSRC,Darcel Schlecht,2017-04-14 13:00:00,Demo,No answer
ACT-010271,20N9WSRC,Darcel Schlecht,2017-04-03 10:00:00,Meeting,Connected
ACT-010272,20N9WSRC,Darcel Schlecht,2017-05-15 13:00:00,Demo,Rescheduled
ACT-010273,20N9WSRC,Darcel Schlecht,2017-04-26 09:00:00,Meeting,Rescheduled
ACT-010274,20N9WSRC,Darcel Schlecht,2017-03-29 10:00:00,Meeting,Rescheduled
ACT-010275,20N9WSRC,Darcel Schlecht,2017-04-24 14:00:00,Demo,Interested
ACT-010276,20N9WSRC,Darcel Schlecht,2017-04-12 10:00:00,Call,Interested
ACT-010277,IJ4GXGCU,Darcel Schlecht,2017-03-26 15:00:00,Email,Responded
ACT-010278,IJ4GXGCU,Darcel Schlecht,2017-03-24 13:00:00,Follow-up,Responded
ACT-010279,IJ4GXGCU,Darcel Schlecht,2017-03-29 13:00:00,Email,Connected
ACT-010280,IJ4GXGCU,Darcel Schlecht,2017-03-24 10:00:00,Meeting,Rescheduled
ACT-010281,IJ4GXGCU,Darcel Schlecht,2017-03-27 13:00:00,Demo,Not interested
ACT-010282,IJ4GXGCU,Darcel Schlecht,2017-03-25 13:00:00,Meeting,Interested
ACT-010283,IJ4GXGCU,Darcel Schlecht,2017-03-27 16:00:00,Follow-up,No answer
ACT-010284,IJ4GXGCU,Darcel Schlecht,2017-03-30 09:00:00,Call,Interested
ACT-010285,IJ4GXGCU,Darcel Schlecht,2017-03-22 08:00:00,Call,Connected
ACT-010286,GZCWM6GK,Elease Gluck,2017-04-09 13:00:00,Call,Responded
ACT-010287,GZCWM6GK,Elease Gluck,2017-04-01 10:00:00,Follow-up,Responded
ACT-010288,GZCWM6GK,Elease Gluck,2017-03-23 09:00:00,Follow-up,Connected
ACT-010289,GZCWM6GK,Elease Gluck,2017-04-19 13:00:00,Follow-up,Completed
ACT-010290,GZCWM6GK,Elease Gluck,2017-03-27 15:00:00,Email,Rescheduled
ACT-010291,U0G8KIPB,Gladys Colclough,2017-05-11 14:00:00,Email,Rescheduled
ACT-010292,U0G8KIPB,Gladys Colclough,2017-03-31 11:00:00,Call,Rescheduled
ACT-010293,U0G8KIPB,Gladys Colclough,2017-06-09 08:00:00,Demo,Connected
ACT-010294,U0G8KIPB,Gladys Colclough,2017-03-27 10:00:00,Call,Connected
ACT-010295,U0G8KIPB,Gladys Colclough,2017-06-13 12:00:00,Meeting,Interested
ACT-010296,U0G8KIPB,Gladys Colclough,2017-05-18 15:00:00,Call,Rescheduled
ACT-010297,U0G8KIPB,Gladys Colclough,2017-04-30 17:00:00,Follow-up,Completed
